index,date,open,high,low,close,volume,marketcap
951,"Apr 10, 2019",5204.11,5421.65,5193.38,5324.55,15504590933.0,93918439274.0
952,"Apr 09, 2019",5289.92,5289.92,5167.42,5204.96,14722104361.0,91799330425.0
953,"Apr 08, 2019",5199.84,5318.84,5148.21,5289.77,17154113634.0,93286365973.0
954,"Apr 07, 2019",5062.79,5235.19,5050.41,5198.9,16655416140.0,91674230186.0
955,"Apr 06, 2019",5036.79,5205.82,4992.22,5059.82,16929795194.0,89212733450.0
956,"Apr 05, 2019",4922.81,5053.51,4919.49,5036.68,16837325387.0,88796118650.0
957,"Apr 04, 2019",4971.31,5063.16,4836.79,4922.8,18251810240.0,86778727821.0
958,"Apr 03, 2019",4879.96,5307.0,4876.62,4973.02,22899891582.0,87655288145.0
959,"Apr 02, 2019",4156.92,4905.95,4155.32,4879.88,21315047816.0,85986009273.0
960,"Apr 01, 2019",4105.36,4164.95,4096.9,4158.18,10157794171.0,73269368747.0
961,"Mar 31, 2019",4105.46,4113.02,4094.1,4105.4,9045122443.0,72339379036.0
962,"Mar 30, 2019",4092.14,4296.81,4053.91,4106.66,9732688060.0,72355190645.0
963,"Mar 29, 2019",4068.3,4113.5,4034.1,4098.37,10918665557.0,72202088875.0
964,"Mar 28, 2019",4087.58,4094.9,4040.27,4069.11,9353915899.0,71678998915.0
965,"Mar 27, 2019",3984.24,4087.07,3977.81,4087.07,10897131934.0,71987847571.0
966,"Mar 26, 2019",3969.23,3985.08,3944.75,3985.08,10707678815.0,70184147203.0
967,"Mar 25, 2019",4024.11,4038.84,3934.03,3963.07,10359818883.0,69789872373.0
968,"Mar 24, 2019",4035.16,4040.7,4006.19,4022.17,9144851065.0,70823042992.0
969,"Mar 23, 2019",4022.71,4049.88,4015.96,4035.83,9578850549.0,71056017910.0
970,"Mar 22, 2019",4028.51,4053.91,4021.54,4023.97,9252935969.0,70840048102.0
971,"Mar 21, 2019",4083.95,4097.36,4005.15,4029.33,10831212662.0,70926226882.0
972,"Mar 20, 2019",4070.79,4089.46,4031.11,4087.48,10175916388.0,71942444088.0
973,"Mar 19, 2019",4032.69,4082.22,4023.81,4071.19,9344919956.0,71647703828.0
974,"Mar 18, 2019",4029.97,4071.56,4009.12,4032.51,9646954186.0,70958165407.0
975,"Mar 17, 2019",4047.72,4054.12,4006.41,4025.23,8221625400.0,70821939585.0
976,"Mar 16, 2019",3963.9,4077.04,3961.66,4048.73,9856166973.0,71227967573.0
977,"Mar 15, 2019",3926.66,3968.54,3914.02,3960.91,9394210605.0,69675002377.0
978,"Mar 14, 2019",3905.58,3946.5,3901.3,3924.37,10480789570.0,69024696307.0
979,"Mar 13, 2019",3913.05,3926.6,3891.9,3906.72,9469184841.0,68706700381.0
980,"Mar 12, 2019",3903.76,3926.89,3863.56,3909.16,9809887079.0,68743000581.0
981,"Mar 11, 2019",3953.74,3966.38,3889.24,3905.23,10125901903.0,68666928025.0
982,"Mar 10, 2019",3966.17,3966.17,3924.38,3951.6,9713267607.0,69475297370.0
983,"Mar 09, 2019",3894.55,3987.24,3892.39,3963.31,10796103518.0,69674508655.0
984,"Mar 08, 2019",3913.23,3950.43,3875.23,3901.13,10638638944.0,68574579320.0
985,"Mar 07, 2019",3903.38,3939.37,3894.11,3911.48,9584165519.0,68749421311.0
986,"Mar 06, 2019",3897.08,3919.51,3871.46,3903.94,9175291529.0,68609885776.0
987,"Mar 05, 2019",3759.83,3903.92,3745.18,3896.38,10174126415.0,68470655400.0
